;;Microsoft Windows 7 Professional SP1 x64;1 Core 1 gb RAM 20 gb HDD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Microsoft Windows Server 2012;1 core 2 gb RAM 40 gb HDD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Microsoft Windows 10 Pro x64;1 Core 2 gb RAM 20 gb HDD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Ubuntu 20.04 LTS;1 Core 4 gb RAM 25 gb HDD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Перечень виртуальных машин виртуального сегмента Индустриального киберполигона;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Параметры Simple IED;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;№ п/п;Наименование виртуальной машины;Название;Настройки симуляции;;;;Адрес РЗА;Адрес источника Goose;Адрес назвачения;Адрес назвачения;Прием goose состояния;Название архива;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Напряжение;Токи;cos;Уставка;Private IP;MAC Source;MAC Dst Breaker;MAC Dst Trip;Breaker State MAC;Tag;Ansible Deploy/Setup;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ГРУППА 1. Восточная ПС 4 192.168.204.0/24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;43;Виртуальный терминал РЗА №3_ПС9;;;;;;192.168.208.5;2C-C2-60-77-06-03;2C-C2-60-75-06-03;2C-C2-60-74-06-03;2C-C2-60-75-06-01;icr-rza-n3-ps9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;44;Виртуальный терминал РЗА №4_ПС9;;;;;;192.168.208.6;2C-C2-60-77-06-04;2C-C2-60-75-06-04;2C-C2-60-74-06-04;2C-C2-60-75-06-02;icr-rza-n4-ps9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;45;Виртуальный терминал РЗА №5_ПС9;;;;;;192.168.208.7;2C-C2-60-77-06-05;2C-C2-60-75-06-05;2C-C2-60-74-06-05;2C-C2-60-75-06-01;icr-rza-n5-ps9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;46;Виртуальный терминал РЗА №6_ПС9;;;;;;192.168.208.8;2C-C2-60-77-06-06;2C-C2-60-75-06-06;2C-C2-60-74-06-06;2C-C2-60-75-06-02;icr-rza-n6-ps9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;47;Виртуальный терминал РЗА №7_ПС9;;;;;;192.168.208.9;2C-C2-60-77-06-07;2C-C2-60-75-06-07;2C-C2-60-74-06-07;2C-C2-60-75-06-01;icr-rza-n7-ps9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;48;Виртуальный терминал РЗА №8_ПС9;;;;;;192.168.208.10;2C-C2-60-77-06-08;2C-C2-60-75-06-08;2C-C2-60-74-06-08;2C-C2-60-75-06-02;icr-rza-n8-ps9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;49;Виртуальный терминал РЗА №1_ПС10;;;;;;192.168.209.3;2C-C2-60-77-07-01;2C-C2-60-75-07-01;2C-C2-60-74-07-01;-;icr-rza-n1-ps10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;50;Виртуальный терминал РЗА №2_ПС10;;;;;;192.168.209.4;2C-C2-60-77-07-02;2C-C2-60-75-07-02;2C-C2-60-74-07-02;-;icr-rza-n2-ps10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;51;Виртуальный терминал РЗА №3_ПС10;;;;;;192.168.209.5;2C-C2-60-77-07-03;2C-C2-60-75-07-03;2C-C2-60-74-07-03;2C-C2-60-75-07-01;icr-rza-n3-ps10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;52;Виртуальный терминал РЗА №4_ПС10;;;;;;192.168.209.6;2C-C2-60-77-07-04;2C-C2-60-75-07-04;2C-C2-60-74-07-04;2C-C2-60-75-07-02;icr-rza-n4-ps10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;53;Виртуальный терминал РЗА №5_ПС10;;;;;;192.168.209.7;2C-C2-60-77-07-05;2C-C2-60-75-07-05;2C-C2-60-74-07-05;2C-C2-60-75-07-01;icr-rza-n5-ps10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;54;Виртуальный терминал РЗА №6_ПС10;;;;;;192.168.209.8;2C-C2-60-77-07-06;2C-C2-60-75-07-06;2C-C2-60-74-07-06;2C-C2-60-75-07-02;icr-rza-n6-ps10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;55;Виртуальный терминал РЗА №7_ПС10;;;;;;192.168.209.9;2C-C2-60-77-07-07;2C-C2-60-75-07-07;2C-C2-60-74-07-07;2C-C2-60-75-07-01;icr-rza-n7-ps10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;56;Виртуальный терминал РЗА №8_ПС10;;;;;;192.168.209.10;2C-C2-60-77-07-08;2C-C2-60-75-07-08;2C-C2-60-74-07-08;2C-C2-60-75-07-02;icr-rza-n8-ps10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;57;Виртуальный терминал РЗА №1_ПС11;;;;;;192.168.210.3;2C-C2-60-77-08-01;2C-C2-60-75-08-01;2C-C2-60-74-08-01;-;icr-rza-n1-ps11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;58;Виртуальный терминал РЗА №2_ПС11;;;;;;192.168.210.4;2C-C2-60-77-08-02;2C-C2-60-75-08-02;2C-C2-60-74-08-02;-;icr-rza-n2-ps11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;59;Виртуальный терминал РЗА №3_ПС11;;;;;;192.168.210.5;2C-C2-60-77-08-03;2C-C2-60-75-08-03;2C-C2-60-74-08-03;2C-C2-60-75-08-01;icr-rza-n3-ps11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;60;Виртуальный терминал РЗА №4_ПС11;;;;;;192.168.210.6;2C-C2-60-77-08-04;2C-C2-60-75-08-04;2C-C2-60-74-08-04;2C-C2-60-75-08-02;icr-rza-n4-ps11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;61;Виртуальный терминал РЗА №5_ПС11;;;;;;192.168.210.7;2C-C2-60-77-08-05;2C-C2-60-75-08-05;2C-C2-60-74-08-05;2C-C2-60-75-08-01;icr-rza-n5-ps11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;62;Виртуальный терминал РЗА №6_ПС11;;;;;;192.168.210.8;2C-C2-60-77-08-06;2C-C2-60-75-08-06;2C-C2-60-74-08-06;2C-C2-60-75-08-02;icr-rza-n6-ps11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;63;Виртуальный терминал РЗА №7_ПС11;;;;;;192.168.210.9;2C-C2-60-77-08-07;2C-C2-60-75-08-07;2C-C2-60-74-08-07;2C-C2-60-75-08-01;icr-rza-n7-ps11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;64;Виртуальный терминал РЗА №8_ПС11;;;;;;192.168.210.10;2C-C2-60-77-08-08;2C-C2-60-75-08-08;2C-C2-60-74-08-08;2C-C2-60-75-08-02;icr-rza-n8-ps11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;65;Виртуальный терминал РЗА №1_ПС12;;;;;;192.168.212.3;2C-C2-60-77-09-01;2C-C2-60-75-09-01;2C-C2-60-74-09-01;-;icr-rza-n1-ps12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;66;Виртуальный терминал РЗА №2_ПС12;;;;;;192.168.212.4;2C-C2-60-77-09-02;2C-C2-60-75-09-02;2C-C2-60-74-09-02;-;icr-rza-n2-ps12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;67;Виртуальный терминал РЗА №3_ПС12;;;;;;192.168.212.5;2C-C2-60-77-09-03;2C-C2-60-75-09-03;2C-C2-60-74-09-03;2C-C2-60-75-09-01;icr-rza-n3-ps12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;68;Виртуальный терминал РЗА №4_ПС12;;;;;;192.168.212.6;2C-C2-60-77-09-04;2C-C2-60-75-09-04;2C-C2-60-74-09-04;2C-C2-60-75-09-02;icr-rza-n4-ps12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;69;Виртуальный терминал РЗА №5_ПС12;;;;;;192.168.212.7;2C-C2-60-77-09-05;2C-C2-60-75-09-05;2C-C2-60-74-09-05;2C-C2-60-75-09-01;icr-rza-n5-ps12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;70;Виртуальный терминал РЗА №6_ПС12;;;;;;192.168.212.8;2C-C2-60-77-09-06;2C-C2-60-75-09-06;2C-C2-60-74-09-06;2C-C2-60-75-09-02;icr-rza-n6-ps12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;71;Виртуальный терминал РЗА №7_ПС12;;;;;;192.168.212.9;2C-C2-60-77-09-07;2C-C2-60-75-09-07;2C-C2-60-74-09-07;2C-C2-60-75-09-01;icr-rza-n7-ps12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;72;Виртуальный терминал РЗА №8_ПС12;;;;;;192.168.212.10;2C-C2-60-77-09-08;2C-C2-60-75-09-08;2C-C2-60-74-09-08;2C-C2-60-75-09-02;icr-rza-n8-ps12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;73;Виртуальный терминал РЗА №1_ПС13;;;;;;192.168.213.3;2C-C2-60-77-0A-01;2C-C2-60-75-0A-01;2C-C2-60-74-0A-01;-;icr-rza-n1-ps13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;74;Виртуальный терминал РЗА №2_ПС13;;;;;;192.168.213.4;2C-C2-60-77-0A-02;2C-C2-60-75-0A-02;2C-C2-60-74-0A-02;-;icr-rza-n2-ps13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;75;Виртуальный терминал РЗА №3_ПС13;;;;;;192.168.213.5;2C-C2-60-77-0A-03;2C-C2-60-75-0A-03;2C-C2-60-74-0A-03;2C-C2-60-75-0A-01;icr-rza-n3-ps13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;76;Виртуальный терминал РЗА №4_ПС13;;;;;;192.168.213.6;2C-C2-60-77-0A-04;2C-C2-60-75-0A-04;2C-C2-60-74-0A-04;2C-C2-60-75-0A-02;icr-rza-n4-ps13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;77;Виртуальный терминал РЗА №5_ПС13;;;;;;192.168.213.7;2C-C2-60-77-0A-05;2C-C2-60-75-0A-05;2C-C2-60-74-0A-05;2C-C2-60-75-0A-01;icr-rza-n5-ps13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;78;Виртуальный терминал РЗА №6_ПС13;;;;;;192.168.213.8;2C-C2-60-77-0A-06;2C-C2-60-75-0A-06;2C-C2-60-74-0A-06;2C-C2-60-75-0A-02;icr-rza-n6-ps13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;79;Виртуальный терминал РЗА №7_ПС13;;;;;;192.168.213.9;2C-C2-60-77-0A-07;2C-C2-60-75-0A-07;2C-C2-60-74-0A-07;2C-C2-60-75-0A-01;icr-rza-n7-ps13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;80;Виртуальный терминал РЗА №8_ПС13;;;;;;192.168.213.10;2C-C2-60-77-0A-08;2C-C2-60-75-0A-08;2C-C2-60-74-0A-08;2C-C2-60-75-0A-02;icr-rza-n8-ps13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
